,domestic,commercial,public
0,0,0,37.403999999999996
1,0,0,34.282
2,0,0,46.92
3,0,0,48.300000000000004
4,0,0,43.685
5,0,0,36.177
6,0,0,25.446
7,0,0,10.917
8,0,0,11.633
9,0,0,15.354
10,0,0,12.317
11,0,0,10.387
12,0,0,10.468
13,0,0,10.638
14,0,0,10.893999999999998
15,0,0,10.198
16,0,0,8.521
17,0,0,8.442
18,0,0,9.305000000000001
19,0,0,37.46
20,0,0,59.662
21,0,0,56.955
22,0,0,50.976
23,0,0,51.726
24,0,0,54.253
25,0,0,56.249
26,0,0,56.153
27,0,0,52.595000000000006
28,0,0,41.037
29,0,0,29.931
30,0,0,33.495
31,0,0,18.13
32,0,0,24.067
33,0,0,17.225
34,0,0,12.238000000000001
35,0,0,10.606000000000002
36,0,0,10.736
37,0,0,10.423
38,0,0,10.469
39,0,0,10.764
40,0,0,10.51
41,0,0,10.665
42,0,0,10.507000000000001
43,0,0,46.113
44,0,0,44.6
45,0,0,43.666999999999994
46,0,0,45.437
47,0,0,53.455000000000005
48,0,0,53.747
49,0,0,57.559
50,0,0,55.335
51,0,0,40.176
52,0,0,35.902
53,0,0,33.12
54,0,0,33.184
55,0,0,12.796999999999999
56,0,0,15.882
57,0,0,16.148
58,0,0,12.525
59,0,0,11.465
60,0,0,11.674
61,0,0,11.284
62,0,0,10.979
63,0,0,9.908
64,0,0,10.158000000000001
65,0,0,10.328000000000001
66,0,0,9.693999999999999
67,0,0,14.606
68,0,0,51.244
69,0,0,39.958
70,0,0,43.346000000000004
71,0,0,42.33
72,0,0,42.376999999999995
73,0,0,50.016999999999996
74,0,0,57.351
75,0,0,51.934
76,0,0,44.720000000000006
77,0,0,39.08
78,0,0,37.007
79,0,0,11.254999999999999
80,0,0,15.592
81,0,0,10.566
82,0,0,10.296
83,0,0,10.474
84,0,0,10.467
85,0,0,9.771
86,0,0,7.084
87,0,0,9.866
88,0,0,10.246
89,0,0,10.427000000000001
90,0,0,9.004
91,0,0,27.554
92,0,0,99.20700000000001
93,0,0,46.121
94,0,0,72.25099999999999
95,0,0,41.543
96,0,0,41.876
97,0,0,33.393
98,0,0,38.948
99,0,0,37.689
100,0,0,32.352
101,0,0,38.741
102,0,0,30.914
103,0,0,14.83
104,0,0,11.924000000000001
105,0,0,10.517999999999999
106,0,0,10.388
107,0,0,10.396
108,0,0,10.383999999999999
109,0,0,10.416
110,0,0,8.401
111,0,0,5.798
112,0,0,4.36
113,0,0,4.521
114,0,0,14.168
115,0,0,134.864
116,0,0,100.92099999999999
117,0,0,59.117000000000004
118,0,0,60.622
119,0,0,51.888999999999996
120,0,0,49.667
121,0,0,44.026999999999994
122,0,0,40.978
123,0,0,38.813
124,0,0,42.455
125,0,0,40.539
126,0,0,24.069
127,0,0,4.621
128,0,0,17.009
129,0,0,18.13
130,0,0,15.962
131,0,0,10.893999999999998
132,0,0,12.366999999999999
133,0,0,12.281
134,0,0,10.642999999999999
135,0,0,10.47
136,0,0,10.552999999999999
137,0,0,10.769
138,0,0,10.642999999999999
139,0,0,33.561
140,0,0,49.058
141,0,0,52.71
142,0,0,57.649
143,0,0,70.74
144,0,0,66.146
145,0,0,64.726
146,0,0,59.367000000000004
147,0,0,43.951
148,0,0,36.644000000000005
149,0,0,36.281
150,0,0,25.825
151,0,0,80.08800000000001
152,0,0,95.741
153,0,0,99.11399999999999
154,0,0,34.561
155,0,0,14.540000000000001
156,0,0,10.513
157,0,0,10.595
158,0,0,10.463000000000001
159,0,0,9.429
160,0,0,7.935
161,0,0,7.805999999999999
162,0,0,14.568
163,0,0,148.855
164,0,0,146.84
165,0,0,134.37099999999998
166,0,0,56.51
167,0,0,30.651
168,0,0,35.741
169,0,0,37.059000000000005
170,0,0,41.778000000000006
171,0,0,38.724000000000004
172,0,0,36.38
173,0,0,36.78
174,0,0,26.769000000000002
175,0,0,13.015
176,0,0,12.95
177,0,0,15.23
178,0,0,11.366
179,0,0,10.3
180,0,0,10.775
181,0,0,10.68
182,0,0,10.503
183,0,0,9.341999999999999
184,0,0,6.697
185,0,0,6.13
186,0,0,9.517
187,0,0,53.856
188,0,0,46.708
189,0,0,48.529999999999994
190,0,0,44.323
191,0,0,52.333
192,0,0,29.312
193,0,0,44.346999999999994
194,0,0,40.009
195,0,0,41.737
196,0,0,42.842
197,0,0,45.669000000000004
198,0,0,21.66
199,0,0,11.805
200,0,0,14.839
201,0,0,14.183
202,0,0,11.243
203,0,0,10.259
204,0,0,10.468
205,0,0,10.596
206,0,0,9.036000000000001
207,0,0,5.329000000000001
208,0,0,3.2390000000000003
209,0,0,10.337000000000002
210,0,0,9.815000000000001
211,0,0,10.501
212,0,0,72.414
213,0,0,50.416000000000004
214,0,0,43.395999999999994
215,0,0,63.794000000000004
216,0,0,52.833999999999996
217,0,0,53.538000000000004
218,0,0,58.494
219,0,0,65.494
220,0,0,63.913
221,0,0,52.186
222,0,0,27.697
223,0,0,20.098000000000003
224,0,0,20.311
225,0,0,24.826
226,0,0,17.603
227,0,0,14.379
228,0,0,11.369
229,0,0,10.604000000000001
230,0,0,10.846
231,0,0,9.599
232,0,0,6.361000000000001
233,0,0,23.788
234,0,0,21.989
235,0,0,75.87
236,0,0,89.969
237,0,0,81.426
238,0,0,77.746
239,0,0,127.76100000000001
240,0,0,50.048
241,0,0,42.56999999999999
242,0,0,48.696000000000005
243,0,0,52.375
244,0,0,56.463
245,0,0,42.224
246,0,0,16.469
247,0,0,24.343
248,0,0,33.391
249,0,0,46.675000000000004
250,0,0,13.779
251,0,0,10.644
252,0,0,10.562
253,0,0,10.638
254,0,0,12.49
255,0,0,12.304
256,0,0,96.866
257,0,0,85.84899999999999
258,0,0,35.034000000000006
259,0,0,59.219
260,0,0,119.041
261,0,0,51.738
262,0,0,60.721
263,0,0,45.417
264,0,0,46.43
265,0,0,52.352999999999994
266,0,0,47.343
267,0,0,38.869
268,0,0,28.69
269,0,0,28.8
270,0,0,22.267
271,0,0,13.527000000000001
272,0,0,13.437
273,0,0,20.517
274,0,0,27.841
275,0,0,19.178
276,0,0,17.366
277,0,0,12.525
278,0,0,24.589
279,0,0,48.544999999999995
280,0,0,39.914
281,0,0,31.453000000000003
282,0,0,18.582
283,0,0,64.569
284,0,0,124.061
285,0,0,109.034
286,0,0,109.099
287,0,0,53.315
288,0,0,38.489000000000004
289,0,0,47.634
290,0,0,44.367999999999995
291,0,0,39.606
292,0,0,36.992
293,0,0,31.842000000000002
294,0,0,16.955000000000002
295,0,0,11.386000000000001
296,0,0,21.386
297,0,0,36.821
298,0,0,57.925999999999995
299,0,0,29.994
300,0,0,15.270000000000001
301,0,0,11.882
302,0,0,20.394
303,0,0,28.884
304,0,0,22.438
305,0,0,10.975999999999999
306,0,0,11.202
307,0,0,12.007
308,0,0,44.16
309,0,0,41.204
310,0,0,37.445
311,0,0,35.323
312,0,0,48.506
313,0,0,49.88999999999999
314,0,0,45.619
315,0,0,42.734
316,0,0,41.893
317,0,0,39.919999999999995
318,0,0,78.641
319,0,0,45.811
320,0,0,20.249
321,0,0,28.004
322,0,0,20.802999999999997
323,0,0,21.964000000000002
324,0,0,21.717
325,0,0,25.95
326,0,0,11.736
327,0,0,16.347
328,0,0,19.724
329,0,0,17.029
330,0,0,10.373999999999999
331,0,0,29.017999999999997
332,0,0,45.952
333,0,0,49.522
334,0,0,45.269999999999996
335,0,0,41.307
336,0,0,40.507
337,0,0,38.91
338,0,0,39.797
339,0,0,32.687
340,0,0,31.066
341,0,0,31.273000000000003
342,0,0,20.322
343,0,0,6.223
344,0,0,36.375
345,0,0,40.298
346,0,0,47.681000000000004
347,0,0,32.166
348,0,0,26.037000000000003
349,0,0,20.472
350,0,0,18.664
351,0,0,12.593
352,0,0,10.411
353,0,0,10.387
354,0,0,12.985999999999999
355,0,0,19.522000000000002
356,0,0,99.57100000000001
357,0,0,52.051
358,0,0,35.302
359,0,0,31.510999999999996
360,0,0,33.646
361,0,0,36.45
362,0,0,34.73
363,0,0,28.898
364,0,0,25.99
365,0,0,33.857
366,0,0,24.268
367,0,0,14.149000000000001
368,0,0,8.844
369,0,0,10.383999999999999
370,0,0,10.775
371,0,0,10.899000000000001
372,0,0,8.534
373,0,0,15.914000000000001
374,0,0,34.598
375,0,0,35.219
376,0,0,38.048
377,0,0,12.695
378,0,0,10.423
379,0,0,46.064
380,0,0,97.065
381,0,0,74.134
382,0,0,44.413000000000004
383,0,0,38.678999999999995
384,0,0,37.052
385,0,0,39.135000000000005
386,0,0,45.41
387,0,0,29.461000000000002
388,0,0,27.664
389,0,0,28.101000000000003
390,0,0,19.939
391,0,0,14.897
392,0,0,32.311
393,0,0,43.387
394,0,0,53.0
395,0,0,54.692
396,0,0,62.318
397,0,0,43.217
398,0,0,26.703
399,0,0,24.872
400,0,0,13.062000000000001
401,0,0,11.006
402,0,0,15.225000000000001
403,0,0,38.262
404,0,0,25.854
405,0,0,26.307000000000002
406,0,0,18.509999999999998
407,0,0,18.595
408,0,0,14.179
409,0,0,11.439
410,0,0,11.139
411,0,0,11.395999999999999
412,0,0,10.834
413,0,0,11.181
414,0,0,11.308
415,0,0,24.608
416,0,0,39.601
417,0,0,27.902
418,0,0,23.941
419,0,0,21.823
420,0,0,14.054
421,0,0,17.897
422,0,0,29.23
423,0,0,28.097
424,0,0,15.282
425,0,0,24.480999999999998
426,0,0,38.561
427,0,0,29.518
428,0,0,32.063
429,0,0,33.479
430,0,0,36.189
431,0,0,18.012
432,0,0,13.17
433,0,0,11.736999999999998
434,0,0,11.179
435,0,0,12.998
436,0,0,14.968
437,0,0,10.798
438,0,0,14.187999999999999
439,0,0,14.44
440,0,0,61.534
441,0,0,68.53399999999999
