,domestic,commercial,public
0,0,0,66.803
1,0,0,68.319
2,0,0,68.007
3,0,0,67.848
4,0,0,66.17399999999999
5,0,0,66.027
6,0,0,25.967
7,0,0,0.0
8,0,0,6.462
9,0,0,10.179
10,0,0,22.689999999999998
11,0,0,23.798
12,0,0,23.843
13,0,0,23.003
14,0,0,24.099
15,0,0,22.917
16,0,0,24.822
17,0,0,27.182000000000002
18,0,0,43.262
19,0,0,78.483
20,0,0,70.48
21,0,0,69.542
22,0,0,67.96900000000001
23,0,0,67.033
24,0,0,66.80999999999999
25,0,0,68.601
26,0,0,68.013
27,0,0,68.36699999999999
28,0,0,57.336
29,0,0,66.194
30,0,0,29.372
31,0,0,0.207
32,0,0,32.639
33,0,0,29.764
34,0,0,26.293
35,0,0,23.723000000000003
36,0,0,23.559
37,0,0,30.156
38,0,0,36.117000000000004
39,0,0,34.522
40,0,0,31.060000000000002
41,0,0,28.551
42,0,0,40.83
43,0,0,87.661
44,0,0,84.001
45,0,0,69.698
46,0,0,79.917
47,0,0,85.93
48,0,0,86.509
49,0,0,71.56400000000001
50,0,0,69.367
51,0,0,69.72200000000001
52,0,0,71.093
53,0,0,69.19200000000001
54,0,0,49.294
55,0,0,1.489
56,0,0,21.571
57,0,0,23.48
58,0,0,23.189999999999998
59,0,0,24.972
60,0,0,26.672
61,0,0,28.377
62,0,0,29.680000000000003
63,0,0,29.558999999999997
64,0,0,29.169
65,0,0,30.096
66,0,0,32.006
67,0,0,37.602999999999994
68,0,0,30.57
69,0,0,61.830000000000005
70,0,0,68.84700000000001
71,0,0,69.51499999999999
72,0,0,70.802
73,0,0,71.426
74,0,0,70.785
75,0,0,69.153
76,0,0,68.893
77,0,0,69.068
78,0,0,42.135
79,0,0,16.27
80,0,0,0.905
81,0,0,13.699
82,0,0,23.265
83,0,0,25.114
84,0,0,24.089
85,0,0,19.469
86,0,0,27.602
87,0,0,31.961000000000002
88,0,0,31.572000000000003
89,0,0,25.259
90,0,0,50.464
91,0,0,86.243
92,0,0,72.787
93,0,0,70.19
94,0,0,68.753
95,0,0,69.32900000000001
96,0,0,67.355
97,0,0,67.971
98,0,0,68.635
99,0,0,68.76599999999999
100,0,0,69.571
101,0,0,67.56700000000001
102,0,0,46.57
103,0,0,1.659
104,0,0,30.389
105,0,0,32.695
106,0,0,33.378
107,0,0,34.325
108,0,0,34.111000000000004
109,0,0,32.059999999999995
110,0,0,26.647000000000002
111,0,0,24.729
112,0,0,26.708
113,0,0,29.07
114,0,0,50.512
115,0,0,85.384
116,0,0,68.608
117,0,0,71.18299999999999
118,0,0,69.335
119,0,0,69.399
120,0,0,74.142
121,0,0,77.05099999999999
122,0,0,78.012
123,0,0,76.48
124,0,0,72.294
125,0,0,66.941
126,0,0,23.594
127,0,0,0.0
128,0,0,0.0
129,0,0,23.675
130,0,0,28.431
131,0,0,28.174
132,0,0,27.872999999999998
133,0,0,25.355
134,0,0,23.644
135,0,0,23.681
136,0,0,24.282999999999998
137,0,0,25.647
138,0,0,40.918000000000006
139,0,0,89.12
140,0,0,73.24799999999999
141,0,0,70.221
142,0,0,68.261
143,0,0,68.157
144,0,0,67.57100000000001
