,domestic,commercial,public
0,0,0,11.971
1,0,0,12.458
2,0,0,12.142
3,0,0,12.766
4,0,0,11.975
5,0,0,11.955
6,0,0,12.436
7,0,0,12.595
8,0,0,11.796
9,0,0,11.823
10,0,0,11.82
11,0,0,11.511000000000001
12,0,0,12.023000000000001
13,0,0,12.494
14,0,0,12.479000000000001
15,0,0,12.167000000000002
16,0,0,12.003
17,0,0,12.467
18,0,0,12.0
19,0,0,12.633999999999999
20,0,0,11.84
21,0,0,11.981
22,0,0,29.214
23,0,0,30.748
24,0,0,30.771
25,0,0,29.6
26,0,0,28.663999999999998
27,0,0,27.895
28,0,0,28.81
29,0,0,27.109
30,0,0,20.1
31,0,0,14.992999999999999
32,0,0,18.348
33,0,0,15.327
34,0,0,11.971
35,0,0,11.987
36,0,0,12.334
37,0,0,12.47
38,0,0,12.152
39,0,0,12.477
40,0,0,12.153
41,0,0,12.488000000000001
42,0,0,11.369
43,0,0,12.171
44,0,0,10.379
45,0,0,11.51
46,0,0,12.148000000000001
47,0,0,12.163
48,0,0,11.978000000000002
49,0,0,12.123999999999999
50,0,0,12.45
51,0,0,11.331000000000001
52,0,0,12.446
53,0,0,12.749
54,0,0,12.437999999999999
55,0,0,12.094000000000001
56,0,0,12.433
57,0,0,11.795
58,0,0,11.986
59,0,0,10.866999999999999
60,0,0,12.176
61,0,0,12.482999999999999
62,0,0,12.164
63,0,0,12.174000000000001
64,0,0,11.358
65,0,0,12.166
66,0,0,12.486
67,0,0,11.835999999999999
68,0,0,11.827
69,0,0,11.844999999999999
70,0,0,12.13
71,0,0,12.456999999999999
72,0,0,12.456
73,0,0,12.770999999999999
74,0,0,11.657
75,0,0,12.28
76,0,0,12.266
77,0,0,12.593
78,0,0,12.417
79,0,0,12.427000000000001
80,0,0,12.418000000000001
81,0,0,11.642
82,0,0,12.469
83,0,0,11.971
84,0,0,11.988
85,0,0,12.142999999999999
86,0,0,12.622
87,0,0,11.667
88,0,0,14.237
89,0,0,13.733
90,0,0,13.114
91,0,0,35.333999999999996
92,0,0,27.532
93,0,0,28.811
94,0,0,31.857000000000003
95,0,0,12.629
96,0,0,12.461
97,0,0,12.13
98,0,0,11.642
99,0,0,12.274000000000001
100,0,0,12.446
101,0,0,12.435
102,0,0,12.439
103,0,0,12.427000000000001
104,0,0,28.454
105,0,0,12.594
106,0,0,11.165
107,0,0,12.296
108,0,0,12.145
109,0,0,12.447
110,0,0,11.823
111,0,0,12.157
112,0,0,12.153
113,0,0,12.631
114,0,0,12.144
115,0,0,236.774
116,0,0,273.35900000000004
117,0,0,180.977
118,0,0,53.699999999999996
119,0,0,36.102000000000004
120,0,0,27.652
121,0,0,12.111
122,0,0,12.442
123,0,0,12.437
124,0,0,12.751999999999999
125,0,0,12.429
126,0,0,12.277
127,0,0,12.449
128,0,0,12.427999999999999
129,0,0,11.962
130,0,0,11.815000000000001
131,0,0,11.815000000000001
132,0,0,11.986
133,0,0,12.459
134,0,0,11.36
135,0,0,11.673
136,0,0,10.699
137,0,0,28.735
138,0,0,34.54900000000001
139,0,0,67.384
140,0,0,83.118
141,0,0,48.756
142,0,0,17.3
143,0,0,12.444
144,0,0,11.016
145,0,0,12.312
146,0,0,12.604000000000001
147,0,0,12.439
148,0,0,12.434000000000001
149,0,0,12.426
150,0,0,12.437
151,0,0,12.592
152,0,0,12.111
153,0,0,12.279
154,0,0,12.454
155,0,0,12.168999999999999
156,0,0,12.327
157,0,0,12.471
158,0,0,12.479000000000001
159,0,0,12.486
160,0,0,14.074
161,0,0,23.576
162,0,0,35.801
163,0,0,57.008
164,0,0,70.33399999999999
165,0,0,71.963
166,0,0,49.439
167,0,0,12.936
168,0,0,12.446
169,0,0,12.453000000000001
170,0,0,12.126
171,0,0,12.291
172,0,0,12.122000000000002
173,0,0,12.44
174,0,0,12.427000000000001
175,0,0,12.434000000000001
176,0,0,12.267999999999999
177,0,0,13.878
178,0,0,11.176
179,0,0,13.100999999999999
180,0,0,13.875
181,0,0,12.939
182,0,0,12.164
183,0,0,17.222
184,0,0,25.73
185,0,0,12.141
186,0,0,11.343
187,0,0,46.282
188,0,0,55.138
189,0,0,27.932
190,0,0,14.215
191,0,0,12.463000000000001
192,0,0,11.972
193,0,0,12.289
194,0,0,12.432
195,0,0,12.437
196,0,0,12.281
197,0,0,11.962
198,0,0,12.432
199,0,0,12.432
200,0,0,11.315999999999999
201,0,0,12.132
202,0,0,26.509
203,0,0,17.238
204,0,0,16.299
205,0,0,18.073
206,0,0,12.157
207,0,0,12.471
208,0,0,12.489
209,0,0,13.924000000000001
210,0,0,12.609
211,0,0,49.391
212,0,0,81.776
213,0,0,44.914
214,0,0,12.144
215,0,0,12.3
216,0,0,12.619
217,0,0,11.648
218,0,0,12.596
219,0,0,12.443
220,0,0,12.437
221,0,0,12.118
222,0,0,12.908
223,0,0,12.919
224,0,0,12.272
225,0,0,11.642
226,0,0,11.823
227,0,0,11.817
228,0,0,10.873000000000001
229,0,0,10.394
230,0,0,11.207
231,0,0,11.857
232,0,0,11.847
233,0,0,12.331
234,0,0,33.661
235,0,0,111.97500000000001
236,0,0,100.3
237,0,0,96.77
238,0,0,17.22
239,0,0,12.153
240,0,0,10.538
241,0,0,12.461
242,0,0,11.665999999999999
243,0,0,12.451
244,0,0,21.201
245,0,0,52.274
246,0,0,40.919
247,0,0,13.061
248,0,0,12.6
249,0,0,12.121
250,0,0,11.981
251,0,0,12.156
252,0,0,12.465
253,0,0,12.151
254,0,0,12.158999999999999
255,0,0,11.519
256,0,0,11.658999999999999
257,0,0,12.956999999999999
258,0,0,27.314
259,0,0,100.758
260,0,0,103.032
261,0,0,91.124
262,0,0,49.586
263,0,0,50.761
264,0,0,50.257999999999996
265,0,0,34.876
266,0,0,22.933
267,0,0,3.7169999999999996
268,0,0,36.452999999999996
269,0,0,50.942
270,0,0,28.488
271,0,0,10.992
272,0,0,11.48
273,0,0,12.293999999999999
274,0,0,12.461
275,0,0,12.149999999999999
276,0,0,12.139000000000001
277,0,0,12.642999999999999
278,0,0,12.337000000000002
279,0,0,12.516
280,0,0,12.146
281,0,0,12.167000000000002
282,0,0,23.810000000000002
283,0,0,83.393
284,0,0,98.601
285,0,0,57.501999999999995
286,0,0,19.977
287,0,0,12.452
288,0,0,12.45
289,0,0,11.814
290,0,0,12.122000000000002
291,0,0,11.972
292,0,0,40.348
293,0,0,52.224
294,0,0,39.315999999999995
295,0,0,12.431
296,0,0,12.116999999999999
297,0,0,12.277
298,0,0,12.144
299,0,0,12.456999999999999
300,0,0,11.209999999999999
301,0,0,12.673
302,0,0,12.156
303,0,0,11.674
304,0,0,12.01
305,0,0,12.485
306,0,0,14.244
307,0,0,95.405
308,0,0,103.366
309,0,0,38.428
310,0,0,51.925
311,0,0,49.443
312,0,0,51.546
313,0,0,50.208000000000006
314,0,0,50.86
315,0,0,49.766999999999996
316,0,0,85.1
317,0,0,99.825
318,0,0,97.27199999999999
319,0,0,20.965999999999998
320,0,0,12.746
321,0,0,12.116
322,0,0,12.31
323,0,0,12.161
324,0,0,11.991999999999999
325,0,0,12.016
326,0,0,12.485
327,0,0,12.488000000000001
328,0,0,12.328000000000001
329,0,0,9.612
330,0,0,23.369
331,0,0,93.384
332,0,0,110.26700000000001
333,0,0,44.723
334,0,0,33.665
335,0,0,12.777000000000001
336,0,0,10.373999999999999
337,0,0,12.47
338,0,0,12.447
339,0,0,12.454
340,0,0,11.792
341,0,0,11.645000000000001
342,0,0,11.633
343,0,0,12.119
344,0,0,12.445
345,0,0,11.82
346,0,0,12.156
347,0,0,11.987
348,0,0,11.997
349,0,0,12.161
350,0,0,12.028
351,0,0,11.532
352,0,0,12.18
353,0,0,11.998999999999999
354,0,0,12.647
355,0,0,83.286
356,0,0,99.17099999999999
357,0,0,67.443
358,0,0,69.75
359,0,0,12.166
360,0,0,12.466
361,0,0,12.458
362,0,0,11.665
363,0,0,12.285
364,0,0,12.773
365,0,0,12.435
366,0,0,12.436
367,0,0,12.278
368,0,0,12.116999999999999
369,0,0,12.453000000000001
370,0,0,12.152
371,0,0,12.479000000000001
372,0,0,12.968
373,0,0,12.484
374,0,0,12.168
375,0,0,12.649000000000001
376,0,0,12.497
377,0,0,19.499
378,0,0,39.338
379,0,0,86.43199999999999
380,0,0,158.277
381,0,0,106.52799999999999
382,0,0,30.922
383,0,0,16.788999999999998
384,0,0,13.919
385,0,0,12.477
386,0,0,12.469
387,0,0,12.458
388,0,0,76.03699999999999
389,0,0,104.847
390,0,0,79.076
391,0,0,15.923
392,0,0,12.904
393,0,0,12.425
394,0,0,12.583
395,0,0,14.024999999999999
396,0,0,15.447000000000001
397,0,0,13.063
398,0,0,15.633000000000001
399,0,0,16.393
400,0,0,13.828999999999999
401,0,0,44.557
402,0,0,52.129000000000005
403,0,0,102.539
404,0,0,121.347
405,0,0,33.208
406,0,0,12.404
407,0,0,12.426
408,0,0,12.101
409,0,0,12.425
410,0,0,12.097
411,0,0,12.1
412,0,0,44.138
413,0,0,51.614
414,0,0,52.43
415,0,0,27.158
416,0,0,28.212999999999997
417,0,0,22.054000000000002
418,0,0,13.22
419,0,0,12.382000000000001
420,0,0,12.239999999999998
421,0,0,13.042
422,0,0,13.514
423,0,0,12.739
424,0,0,13.997
425,0,0,16.383000000000003
426,0,0,65.258
427,0,0,96.792
428,0,0,95.878
429,0,0,22.46
430,0,0,12.403
431,0,0,12.716999999999999
432,0,0,13.373
433,0,0,9.691
434,0,0,12.074
435,0,0,11.748
436,0,0,38.284
437,0,0,54.114000000000004
438,0,0,40.809
439,0,0,30.663
440,0,0,17.338
441,0,0,14.006
442,0,0,11.608
443,0,0,11.802
444,0,0,12.433
445,0,0,12.434000000000001
446,0,0,11.966
447,0,0,13.399
448,0,0,12.289
449,0,0,12.441
450,0,0,24.258
451,0,0,72.519
452,0,0,68.43299999999999
453,0,0,43.958
