,domestic,commercial,public
0,0,0,22.023999999999997
1,0,0,24.261000000000003
2,0,0,23.602
3,0,0,21.636
4,0,0,19.722
5,0,0,19.227
6,0,0,17.122999999999998
7,0,0,16.82
8,0,0,18.578999999999997
9,0,0,15.533
10,0,0,19.143
11,0,0,15.716999999999999
12,0,0,14.798
13,0,0,14.645
14,0,0,14.278
15,0,0,14.641
16,0,0,14.093
17,0,0,13.722
18,0,0,14.298
19,0,0,15.596
20,0,0,18.781
21,0,0,19.802
22,0,0,16.378
23,0,0,18.653
24,0,0,19.296
25,0,0,20.44
26,0,0,24.407
27,0,0,23.451
28,0,0,21.491
29,0,0,18.35
30,0,0,20.031
31,0,0,17.615
32,0,0,19.101
33,0,0,37.827
34,0,0,30.861
35,0,0,26.058999999999997
36,0,0,18.991999999999997
37,0,0,14.269
38,0,0,14.118
39,0,0,14.654
40,0,0,14.082
41,0,0,12.919
42,0,0,14.493
43,0,0,14.472000000000001
44,0,0,14.269
45,0,0,14.639
46,0,0,15.932000000000002
47,0,0,19.298
48,0,0,18.664
49,0,0,17.596
50,0,0,19.256
51,0,0,15.673
52,0,0,19.425
53,0,0,17.948
54,0,0,16.337
55,0,0,18.612
56,0,0,16.967
57,0,0,17.093
58,0,0,18.138
59,0,0,17.519
60,0,0,14.633000000000001
61,0,0,14.467
62,0,0,14.48
63,0,0,14.47
64,0,0,14.087
65,0,0,14.237
66,0,0,15.899
67,0,0,14.48
68,0,0,16.067999999999998
69,0,0,65.604
70,0,0,19.414
71,0,0,17.195999999999998
72,0,0,18.654
73,0,0,18.144000000000002
74,0,0,14.366999999999999
75,0,0,17.498
76,0,0,15.862999999999998
77,0,0,16.383000000000003
78,0,0,16.343
79,0,0,17.607000000000003
80,0,0,17.647
81,0,0,15.978
82,0,0,18.486
83,0,0,16.897
84,0,0,14.468
85,0,0,14.478
86,0,0,15.603
87,0,0,17.367
88,0,0,21.279
89,0,0,17.201999999999998
90,0,0,14.504
91,0,0,20.499
92,0,0,18.758
93,0,0,18.987000000000002
94,0,0,19.018
95,0,0,17.865
96,0,0,17.727
97,0,0,19.939
98,0,0,21.387
99,0,0,23.951
100,0,0,23.424
101,0,0,23.133999999999997
102,0,0,19.567999999999998
103,0,0,16.958000000000002
104,0,0,17.243000000000002
105,0,0,17.919
106,0,0,16.198
107,0,0,14.432
108,0,0,14.116
109,0,0,17.085
110,0,0,14.955
111,0,0,13.116
112,0,0,13.846
