Site_name,County,Institution,"HT (kg 1,4-DCBeq/kWh)",CC (kg CO2eq/kWh),MD (kg Fe eq/kWh),"FE (kg 1,4-DCBeq/kWh)","ME (kg 1,4-DCBeq/kWh)",TA (kg SO2eq/kWh),PMF (kg PM10eq/kWh),"TE (kg 1,4-DCBeq/kWh)"
AIC_Nadoto_Primary_School,Turkana,School,1.306325168,0.786243398,0.541698159,0.193899434,0.176959321,0.006385444,0.002720675,0.001032531
AIC_Nayanaekaton_Primary_School,Turkana,School,1.670542199,1.005456228,0.692729235,0.247960611,0.226297418,0.008165772,0.003479228,0.001320411
A_IC_Gangani_Primary_School,Kwale,School,0.954113471,0.501689834,0.399548464,0.143744192,0.131059306,0.00444985,0.001875354,0.00074455
Abagarse_Primary_School,Isiolo,School,1.82492072,1.050891402,0.759299732,0.272264946,0.248395552,0.008780399,0.003727617,0.001436159
Akadeli_Primary_School,Isiolo,School,0.767984167,0.44224823,0.319537263,0.114577672,0.104532679,0.003695069,0.001568699,0.000604381
Akili_Primary_School,Isiolo,School,1.103765442,0.635609866,0.459246693,0.164673805,0.150236897,0.005310642,0.002254572,0.000868631
Amason_Jeffah_King_Secondary_School,Kilifi,School,0.376362814,0.199972043,0.157495692,0.05664112,0.051646318,0.001761417,0.000742953,0.000293972
Antorita_Primary_School,Kwale,School,0.914504831,0.480862906,0.382961788,0.13777686,0.125618568,0.004265121,0.001797502,0.000713641
Bahero_Primary_School,Kilifi,School,0.858315705,0.456047034,0.359177423,0.129173131,0.117782215,0.004017007,0.001694344,0.000670419
Balaga_Primary_School,Kilifi,School,0.718169145,0.381583264,0.300530611,0.108081626,0.098550629,0.003361106,0.00141769,0.000560952
Bengoni_Primary_School,Kilifi,School,0.598546255,0.318024292,0.250472292,0.090078852,0.0821354,0.002801259,0.00118155,0.000467516
Biliqo_Day_Secondary_school,Isiolo,School,0.355796186,0.20488734,0.148037088,0.053082213,0.048428509,0.001711873,0.000726756,0.000280001
Bomani_Primary_School,Kwale,School,0.815825197,0.428975399,0.3416383,0.122910049,0.112063698,0.003804893,0.001603542,0.000636636
Boyani_Dispensary,Kilifi,Clinic,0.6911179,0.411869319,0.283874968,0.102000016,0.093359186,0.003250433,0.00141854,0.000663399
Boyani_West_Primary_School,Kwale,School,0.810436229,0.426141784,0.339381594,0.122098162,0.111323457,0.00377976,0.00159295,0.000632431
Bura_Primary_School,Kilifi,School,0.357268925,0.189826928,0.149505516,0.053767565,0.049026163,0.001672056,0.000705261,0.000279058
Busa_Dispensary,Kwale,Clinic,0.777643788,0.461028314,0.319541717,0.114839823,0.105107177,0.003650168,0.001592417,0.000746255
Chidzaya_Primary_School,Kwale,School,1.886846567,0.992137486,0.790143595,0.284267274,0.259181752,0.008799985,0.003708685,0.001472416
Chingombero_Dispensary,Kwale,Clinic,0.870493918,0.516074775,0.357694776,0.128551618,0.117656901,0.004085995,0.001782551,0.000835358
Chumvi_yere_Primary_School,Isiolo,School,0.30400212,0.175061421,0.12648699,0.045354913,0.04137866,0.001462672,0.00062096,0.000239241
Daaba_Primary_School,Isiolo,School,1.884745906,1.08534209,0.78419136,0.281190431,0.256538541,0.009068242,0.003849817,0.00148324
Dadacha_Basa_Dispensary,Isiolo,Clinic,0.473492987,0.294086434,0.19386006,0.069536309,0.063665924,0.002262599,0.000990275,0.000455492
Dadachabasa_Primary_School,Isiolo,School,1.378878605,0.794035409,0.573713775,0.205718695,0.187683393,0.006634318,0.002816523,0.001085137
Dera_Tumaini_Primary_School,Kilifi,School,0.676014563,0.359185361,0.282890278,0.101737527,0.092765975,0.003163818,0.001334475,0.000528026
Dighai_Primary_School,Taita_Taveta,School,0.978270798,0.521903664,0.40926067,0.147163815,0.134190071,0.004584663,0.001934406,0.000764394
Dzendereni_Primary_School,Kwale,School,0.77769914,0.408928041,0.325672477,0.117166079,0.106826612,0.003627079,0.001528604,0.000606884
Dzombo_Primary_School,Kwale,School,2.13368819,1.121931202,0.893512004,0.321455775,0.293088507,0.00995122,0.004193863,0.001665041
Ekoropus_Primary_School,Turkana,School,0.907994092,0.546498206,0.3765209,0.134774668,0.123000017,0.004438363,0.001891074,0.000717687
Elsa_Primary_School,Isiolo,School,1.816915026,1.046281276,0.755968781,0.271070555,0.247305872,0.008741881,0.003711264,0.001429859
Elsa_Secondary_School,Isiolo,School,0.868289679,0.500009753,0.361271651,0.129542528,0.118185569,0.004177677,0.001773585,0.000683319
Emejen_Primary_School,Isiolo,School,0.360787018,0.207761341,0.150113637,0.053826808,0.049107827,0.001735886,0.00073695,0.000283929
Fudumulo_Primary_School,Kilifi,School,0.998955498,0.530772872,0.418030638,0.150338865,0.137081485,0.004675215,0.001971972,0.000780271
Galmadido_Primary_School,Isiolo,School,0.922712726,0.531349587,0.383915596,0.137662052,0.125593257,0.004439528,0.00188475,0.000726148
Galukani_Primary_School,Kilifi,School,1.637464363,0.870030412,0.685225993,0.246431933,0.224700748,0.007663503,0.003232409,0.001279001
Gamachu_Primary_School,Isiolo,School,1.12469827,0.647664158,0.467956271,0.167796831,0.153086128,0.005411358,0.00229733,0.000885105
Garbatula_Primary_Boarding,Isiolo,School,0.541464812,0.311805718,0.225288738,0.080782626,0.073700435,0.002605197,0.001106006,0.000426117
Gideon_Mosi_Primary_School,Taita_Taveta,School,0.906181917,0.483444527,0.379102207,0.136319297,0.124301591,0.004246818,0.00179186,0.000708066
Gozani_Primary_School,Kwale,School,0.668271053,0.351388806,0.279847923,0.100679935,0.091795308,0.003116722,0.001313518,0.000521491
Hawe_Wanje_Primary_School,Kilifi,School,0.656485177,0.348808855,0.274717861,0.098798432,0.090086058,0.003072419,0.001295924,0.000512772
Isiolo_Samburu_Complex_Dispensary,Isiolo,Clinic,0.80584919,0.500512829,0.329935134,0.11834553,0.108354579,0.003850772,0.001685374,0.000775212
Isiolo_Samburu_Complex_Primary_School,Isiolo,School,2.249093772,1.295153966,0.935786569,0.335548492,0.306131046,0.01082126,0.004594041,0.001769971
Jezazhomu_Primary_School,Kilifi,School,0.620759033,0.329826559,0.259767623,0.093421788,0.085183545,0.002905217,0.001225399,0.000484866
Jitegemee_Primary_School,Kwale,School,0.769536748,0.40463611,0.32225436,0.115936355,0.105705406,0.00358901,0.00151256,0.000600514
Kaalem_Primary_School,Turkana,School,1.141938933,0.687303567,0.473531578,0.169499385,0.154690993,0.005581908,0.002378309,0.000902599
Kadunguni_Primary_School,Kilifi,School,2.638153858,1.401724605,1.103982253,0.397031758,0.36202018,0.012346834,0.005207804,0.002060626
Kajungunyi_Primary_School,Taita_Taveta,School,0.311312402,0.166083955,0.130237888,0.046831533,0.042702934,0.001458965,0.000615581,0.000243251
Kakalel_Boys_Secondary_School,Turkana,School,0.68875817,0.414545763,0.285609618,0.102233213,0.093301561,0.003366717,0.001434472,0.000544401
Kalokoda_Primary_School,Turkana,School,2.579045264,1.552260772,1.069461193,0.382810826,0.349366382,0.012606623,0.005371361,0.0020385
Kaluweni_Primary_School,Kwale,School,0.898208141,0.472293817,0.376137319,0.135321644,0.123380016,0.004189116,0.00176547,0.000700924
Kaole_Primary_School,Kilifi,School,0.707693126,0.376017064,0.296146735,0.106505026,0.09711306,0.003312077,0.00139701,0.00055277
Kapecha_Primary_School,Kilifi,School,0.588406286,0.312636644,0.246229042,0.088552827,0.080743945,0.002753803,0.001161534,0.000459596
Karyaka_Primary_School,Kwale,School,0.848398854,0.446103208,0.355278978,0.12781751,0.116538093,0.003956812,0.001667567,0.000662055
Kasimani_Primary_School,Kilifi,School,0.462283808,0.245624259,0.193450855,0.069571891,0.063436811,0.002163536,0.000912564,0.000361084
Kasuroi_Primary_School,Turkana,School,1.201395417,0.72308889,0.498186594,0.178324583,0.162745174,0.005872537,0.002502139,0.000949594
Kavunyalo_Dispensary,Kilifi,Clinic,0.52387146,0.312199382,0.215178906,0.077316616,0.070766815,0.002463847,0.001075262,0.000502861
Kawala_Girls_Secondary_School,Kilifi,School,0.759689624,0.403644251,0.317905591,0.114330294,0.10424827,0.003555426,0.001499653,0.000593383
Kawalash_Primary_School,Isiolo,School,1.431976795,0.824612316,0.595806484,0.21364056,0.19491075,0.006889794,0.002924982,0.001126924
Kibora_Primary_School,Kilifi,School,1.350042614,0.717315233,0.564949266,0.203176092,0.185259351,0.00631834,0.002665029,0.0010545
Kidomaya_Primary_School,Kwale,School,0.647704825,0.340574717,0.271235525,0.097581482,0.088970282,0.003020804,0.001273094,0.000505442
Kikonde_Primary_School,Kwale,School,0.589807245,0.31013114,0.246990097,0.088858787,0.081017332,0.002750777,0.001159294,0.000460261
Kinna_Primary_School,Isiolo,School,1.375510379,0.792095796,0.572312348,0.20521618,0.187224933,0.006618112,0.002809643,0.001082486
Kiteje_Mixed_Secondary_School,Kwale,School,0.295265313,0.155255754,0.123646512,0.044483885,0.040558349,0.001377076,0.000580358,0.000230413
Kithengwani_Primary_School,Kilifi,School,2.934702909,1.559289373,1.22807846,0.441661221,0.40271407,0.013734714,0.005793202,0.002292257
Kituoni_Primary_School,Kwale,School,1.111138835,0.584256563,0.465305048,0.167401215,0.152628685,0.005182194,0.002183995,0.000867086
Kituu_Primary_School,Kwale,School,0.37380105,0.196551241,0.156534458,0.05631587,0.051346205,0.001743355,0.000734723,0.000291699
Kizimbani_Primary_School,Kwale,School,0.994301822,0.522821584,0.416377903,0.149798862,0.136579674,0.004637283,0.001954346,0.000775912
Kombola_primary_school,Isiolo,School,1.642062926,0.945591659,0.683217592,0.244983889,0.223506217,0.0079006,0.003354108,0.001292255
Konjora_Primary_School,Kilifi,School,1.502610106,0.79837859,0.628793838,0.226136899,0.206195397,0.007032371,0.002966203,0.001173668
Kubimatamuka_Primary_School,Isiolo,School,1.127707532,0.64939706,0.469208343,0.168245791,0.153495728,0.005425837,0.002303476,0.000887473
KulaMawe_Primary_School,Isiolo,School,0.730502757,0.420664338,0.303942271,0.108985717,0.099430969,0.003514731,0.001492139,0.000574884
Kulalu_Primary_School,Kilifi,School,1.074036396,0.570665444,0.449449571,0.161638244,0.147384448,0.005026602,0.002120184,0.000838915
Lakole_Primary_School,Isiolo,School,1.060077233,0.610451752,0.441069221,0.158155841,0.144290361,0.005100442,0.002165334,0.00083425
Lobei_Primary_School,Turkana,School,0.656853502,0.395343168,0.272379605,0.097497564,0.088979645,0.003210764,0.001368025,0.000519183
Lokitaung_Girls_Secondary_School,Turkana,School,0.442854155,0.266542484,0.183639791,0.065733381,0.059990554,0.002164714,0.00092233,0.000350036
Loruth_Primary_School,Turkana,School,0.90913862,0.547187068,0.376995505,0.134944551,0.123155059,0.004443958,0.001893457,0.000718591
Lunguma_Primary_School,Kwale,School,0.840892142,0.442156045,0.352135437,0.126686569,0.115506954,0.003921802,0.001652813,0.000656197
Lwayoni_Primary_School,Kwale,School,0.410541315,0.215869926,0.171919962,0.06185106,0.056392936,0.001914707,0.000806938,0.000320369
Mabayani_Primary_School,Kwale,School,0.746310454,0.392423311,0.312528022,0.112437143,0.102514987,0.003480686,0.001466908,0.00058239
Mabesheni_Dispensary,Kwale,Clinic,0.598837136,0.355022286,0.24606825,0.088434257,0.080939476,0.00281087,0.001226266,0.000574666
Madibwani_Primary_School,Kwale,School,1.381693394,0.726518963,0.578603584,0.208162243,0.189792706,0.006444022,0.002715783,0.001078216
Maendeleo_Primary_School,Kwale,School,0.965486726,0.507670094,0.404311175,0.145457656,0.132621563,0.004502893,0.001897709,0.000753426
Mafisini_Primary_School,Kwale,School,0.812356751,0.427151629,0.34018584,0.122387503,0.111587264,0.003788717,0.001596725,0.000633929
Magale_Primary_School,Kwale,School,1.049508012,0.55184998,0.439496273,0.158116079,0.144162928,0.004894757,0.002062857,0.000818992
Magodzoni_Primary_School,Kwale,School,0.996187404,0.523813056,0.417167517,0.150082939,0.136838682,0.004646077,0.001958053,0.000777383
Maiyini_Primary_School,Kwale,School,1.0393176,0.54649168,0.435228894,0.156580819,0.142763148,0.00484723,0.002042827,0.00081104
Majoreni_Primary_School,Kwale,School,0.269062595,0.141477898,0.112673754,0.040536253,0.036959081,0.00125487,0.000528855,0.000209965
Makamini_Dispensary,Kwale,Clinic,1.579711671,0.936536521,0.649119542,0.233286514,0.21351554,0.007414979,0.003234848,0.001515949
Makonjeni_Primary_School,Kilifi,School,0.988667923,0.525306797,0.41372562,0.148790626,0.135669775,0.004627069,0.001951664,0.000772235
Malkadaka_Primary_School,Isiolo,School,0.869683778,0.500812553,0.361851697,0.129750517,0.118375324,0.004184385,0.001776432,0.000684416
Mama_Saleti_Primary_School,Isiolo,School,2.483388525,1.430073987,1.033270225,0.370503571,0.338021623,0.011948543,0.005072616,0.001954354
Mapawa_Primary_School,Kilifi,School,0.910401194,0.483721505,0.38097352,0.137011792,0.124929637,0.004260772,0.001797162,0.000711102
Maphanga_Primary_School,Kwale,School,1.098710827,0.577721696,0.460100645,0.165528844,0.150921544,0.005124232,0.002159567,0.000857388
Marafiki_Primary_School,Kilifi,School,2.138350072,1.136164936,0.894830498,0.321813258,0.293434697,0.0100077,0.004221175,0.001670236
Mataarba_Primary_School,Isiolo,School,1.450658899,0.835370517,0.603579598,0.216427795,0.197453629,0.006979681,0.002963143,0.001141626
Matagari_primary_School,Isiolo,School,0.642709125,0.370107855,0.267413735,0.095887544,0.087481109,0.003092322,0.00131281,0.000505793
Matolani_Primary_School,Kilifi,School,1.548640809,0.822835984,0.648056202,0.233064338,0.212511952,0.0072478,0.003057069,0.001209622
Mawe_Mabomu_Primary_School,Kilifi,School,0.773577736,0.411023392,0.323717318,0.1164204,0.106154063,0.003620424,0.001527068,0.000604231
Maya_Island_Primary_School,Kilifi,School,1.015053414,0.539326143,0.424767097,0.152761538,0.139290519,0.004750555,0.002003749,0.000792844
Mazola_Dispensary,Kwale,Clinic,1.147192416,0.680116261,0.471392995,0.169413523,0.155055769,0.005384785,0.002349159,0.001100888
Mbararani_Primary_School,Kwale,School,1.678137899,0.882394756,0.702743898,0.252823782,0.230513031,0.007826598,0.003298458,0.001309549
Mbilini_Primary_School,Kwale,School,3.341173137,1.756848265,1.399163345,0.503372238,0.458951524,0.015582759,0.006567231,0.002607312
Mbita_Primary_School,Kwale,School,0.413566479,0.217460611,0.173186792,0.062306823,0.05680848,0.001928816,0.000812884,0.00032273
Mbulia_Dispensary,Taita_Taveta,Clinic,1.71486886,1.024059794,0.704268305,0.253031799,0.231600024,0.008071551,0.003523051,0.001646265
Mchinjirini_Primary_School,Kwale,School,0.510579408,0.268471734,0.213812324,0.076922533,0.070134407,0.00238127,0.001003568,0.000398435
Melikubwa_Primary_School,Kwale,School,0.975249202,0.512803377,0.40839935,0.146928445,0.13396256,0.004548424,0.001916898,0.000761044
Merti_Muslim_Primary_School,Isiolo,School,1.025338091,0.590447011,0.426615211,0.152973013,0.13956191,0.004933298,0.002094375,0.000806911
Mgange_Dawida_Health_centre,Taita_Taveta,Clinic,0.751139658,0.448554371,0.308480646,0.110831926,0.10144447,0.003535467,0.001543152,0.00072109
Mgange_Nyika_health_centre,Taita_Taveta,Clinic,1.190407487,0.710869778,0.488880686,0.175646637,0.160769379,0.005603014,0.00244559,0.001142785
Mikameni_Primary_School,Kwale,School,0.626650609,0.329504036,0.262418775,0.09440951,0.086078225,0.00292261,0.001231711,0.000489012
Mitangani_Primary_School,Kilifi,School,2.313577727,1.229268268,0.968157616,0.348184329,0.31748028,0.010827784,0.00456708,0.001807104
Mitangoni_Primary_School,Kilifi,School,0.831556509,0.441829128,0.347979564,0.125145977,0.11411019,0.003891771,0.00164152,0.000649518
Mitulani_Primary_School,Kilifi,School,0.88573802,0.470617274,0.370652777,0.133300081,0.121545238,0.004145346,0.001748476,0.000691838
Mitunguni_Primary_School,Kwale,School,1.868243145,0.982355476,0.78235315,0.281464532,0.256626342,0.008713222,0.003672119,0.001457899
Mkuluni_Primary_School,Kilifi,School,0.582700456,0.309604978,0.243841336,0.087694122,0.079960963,0.002727099,0.00115027,0.000455139
Mlilo_Primary_School,Taita_Taveta,School,1.16923525,0.623782457,0.489150859,0.175891093,0.160384795,0.005479617,0.002312014,0.000913609
Mlola_Primary_School,Kwale,School,1.168560816,0.614450062,0.489351313,0.176052257,0.160516305,0.005450002,0.002296861,0.000911896
Mogore_Primary_School,Isiolo,School,2.57744456,1.484236712,1.072404375,0.38453605,0.350823878,0.012401083,0.005264736,0.002028373
Mrima_Wa_Kuku_Primary_School,Kilifi,School,1.230562464,0.653832102,0.514950679,0.185194801,0.168863709,0.00575916,0.002429171,0.000961176
Mtsamviani_Secondary_School,Kwale,School,0.329424642,0.173217336,0.137951212,0.049630238,0.045250556,0.00153639,0.000647499,0.000257069
Mtsangatamu_Primary_School,Kwale,School,0.883846475,0.464742197,0.370123169,0.133157954,0.121407263,0.004122135,0.001737241,0.000689717
Mtumwa_Dispensary,Kwale,Clinic,0.512496952,0.303835264,0.210590194,0.075683829,0.069269643,0.0024056,0.001049464,0.000491811
Muchuro_Primary_School,Isiolo,School,5.031218533,2.897256983,2.093352793,0.750621344,0.684814574,0.024207138,0.010276861,0.003959421
Mugumoni_Primary_School,Kilifi,School,1.669273547,0.886931516,0.698537109,0.25121909,0.229065757,0.007812374,0.003295202,0.001303847
Muhumkulu_Primary_School,Kilifi,School,0.480453365,0.255278251,0.201054228,0.072306338,0.065930125,0.002248572,0.000948431,0.000375276
Munandanur_Primary_School,Isiolo,School,1.278275252,0.736102373,0.531855464,0.190709404,0.173989962,0.006150277,0.002611029,0.001005965
Mwaluvuno_Primary_School,Kwale,School,0.697968047,0.367004014,0.292283958,0.105154005,0.095874558,0.003255224,0.001371889,0.000544665
Mwamambi_Primary_School,Kwale,School,1.589398982,0.835734255,0.665583226,0.239454614,0.218323641,0.007412732,0.003124038,0.001240301
Mwamtsefu_Primary_School,Kwale,School,0.669540419,0.352056261,0.280379487,0.100871175,0.091969671,0.003122642,0.001316013,0.000522481
Mwangani_Primary_School,Kilifi,School,0.536034663,0.284810142,0.224313208,0.080671104,0.073557258,0.002508698,0.00105815,0.000418689
