Site_name,County,Institution,"HT (kg 1,4-DCBeq/kWh)",CC (kg CO2eq/kWh),MD (kg Fe eq/kWh),"FE (kg 1,4-DCBeq/kWh)","ME (kg 1,4-DCBeq/kWh)",TA (kg SO2eq/kWh),PMF (kg PM10eq/kWh),"TE (kg 1,4-DCBeq/kWh)"
AIC_Nadoto_Primary_School,Turkana,School,1.007929801,0.709986805,0.341846408,0.146408246,0.134323321,0.005262166,0.00230904,0.000991777
AIC_Nayanaekaton_Primary_School,Turkana,School,1.288951103,0.907938503,0.437156739,0.187228386,0.171774058,0.006729312,0.002952825,0.001268295
A_IC_Gangani_Primary_School,Kwale,School,0.731382881,0.444769794,0.250373566,0.10829545,0.099234611,0.003611404,0.001568099,0.000714131
Abagarse_Primary_School,Isiolo,School,1.404932658,0.94356112,0.478010681,0.205421643,0.18838587,0.007199398,0.003148245,0.001378799
Akadeli_Primary_School,Isiolo,School,0.591239951,0.397080264,0.201161963,0.086447903,0.079278713,0.003029734,0.001324881,0.000580242
Akili_Primary_School,Isiolo,School,0.849744375,0.570693371,0.289114845,0.124245019,0.113941286,0.004354407,0.001904151,0.000833938
Amason_Jeffah_King_Secondary_School,Kilifi,School,0.288640604,0.177554145,0.098743314,0.04267967,0.039112195,0.001431196,0.00062194,0.000281991
Antorita_Primary_School,Kwale,School,0.701020579,0.42630582,0.23997967,0.103799721,0.09511503,0.003461482,0.001503001,0.000684485
Bahero_Primary_School,Kilifi,School,0.658260471,0.404921808,0.225189456,0.097333291,0.089197472,0.00326392,0.001418369,0.000643096
Balaga_Primary_School,Kilifi,School,0.55077911,0.338805811,0.188420319,0.081440623,0.074633229,0.002730984,0.001186776,0.000538091
Bengoni_Primary_School,Kilifi,School,0.459037785,0.282372127,0.157035814,0.067875347,0.062201836,0.002276094,0.000989099,0.000448463
Biliqo_Day_Secondary_school,Isiolo,School,0.273913094,0.183961661,0.093195488,0.040050089,0.036728705,0.001403633,0.000613799,0.000268818
Bomani_Primary_School,Kwale,School,0.625376961,0.380305295,0.214084666,0.092599213,0.084851643,0.003087971,0.00134082,0.000610625
Boyani_Dispensary,Kilifi,Clinic,0.518260106,0.367694549,0.168102618,0.074488792,0.068660528,0.002599727,0.001180084,0.000639791
Boyani_West_Primary_School,Kwale,School,0.621246007,0.377793172,0.212670521,0.091987545,0.084291152,0.003067573,0.001331963,0.000606592
Bura_Primary_School,Kilifi,School,0.273997097,0.16854635,0.093733803,0.040514417,0.03712793,0.001358588,0.000590388,0.000267685
Busa_Dispensary,Kwale,Clinic,0.58297118,0.411278648,0.189158789,0.083856656,0.077291526,0.002917343,0.001323867,0.000719668
Chidzaya_Primary_School,Kwale,School,1.446376475,0.879572907,0.495136604,0.214164148,0.196245511,0.007141882,0.003101058,0.001412259
Chingombero_Dispensary,Kwale,Clinic,0.652577535,0.460385033,0.211744217,0.093869082,0.08652008,0.003265672,0.001481936,0.000805596
Chumvi_yere_Primary_School,Isiolo,School,0.234038938,0.157181941,0.079628807,0.034219906,0.031382023,0.001199303,0.000524446,0.000229685
Daaba_Primary_School,Isiolo,School,1.450989649,0.974493269,0.493680994,0.212155847,0.194561601,0.007435411,0.003251452,0.001423999
Dadacha_Basa_Dispensary,Isiolo,Clinic,0.355925175,0.264041326,0.115118445,0.050824775,0.046867335,0.001820027,0.000828091,0.000439435
Dadachabasa_Primary_School,Isiolo,School,1.061542873,0.7129385,0.361176622,0.155213048,0.142341113,0.005439741,0.00237876,0.001041797
Dera_Tumaini_Primary_School,Kilifi,School,0.518449869,0.318918828,0.177360557,0.07666028,0.070252461,0.002570683,0.001117116,0.000506506
Dighai_Primary_School,Taita_Taveta,School,0.750396544,0.463669133,0.256640778,0.110896432,0.101630428,0.003726854,0.001620055,0.000733272
Dzendereni_Primary_School,Kwale,School,0.596151145,0.362532442,0.204079822,0.088271763,0.080886262,0.00294366,0.001278159,0.000582089
Dzombo_Primary_School,Kwale,School,1.635594784,0.994640665,0.559911518,0.242181596,0.221918801,0.008076199,0.003506746,0.001597014
Ekoropus_Primary_School,Turkana,School,0.700586904,0.493494147,0.237608925,0.101764726,0.093364795,0.0036576,0.001604956,0.00068936
Elsa_Primary_School,Isiolo,School,1.398769398,0.939421838,0.475913709,0.204520484,0.187559445,0.007167815,0.003134434,0.00137275
Elsa_Secondary_School,Isiolo,School,0.668461108,0.448942452,0.227435492,0.097738762,0.089633212,0.003425444,0.001497922,0.000656027
Emejen_Primary_School,Isiolo,School,0.277755334,0.186542132,0.094502762,0.04061188,0.037243906,0.001423322,0.000622408,0.000272589
Fudumulo_Primary_School,Kilifi,School,0.766120104,0.471270494,0.262087998,0.113281891,0.103812973,0.003798731,0.001650776,0.000748471
Galmadido_Primary_School,Isiolo,School,0.710359212,0.477081467,0.241690795,0.103864876,0.095251283,0.003640145,0.001591809,0.000697145
Galukani_Primary_School,Kilifi,School,1.25580606,0.772495512,0.429608484,0.185689011,0.170167785,0.00622679,0.002705914,0.001226876
Gamachu_Primary_School,Isiolo,School,0.865859712,0.581516527,0.294597886,0.126601317,0.116102174,0.004436988,0.001940263,0.000849753
Garbatula_Primary_Boarding,Isiolo,School,0.41685186,0.279960186,0.141828607,0.060949821,0.055895206,0.002136104,0.000934103,0.000409098
Gideon_Mosi_Primary_School,Taita_Taveta,School,0.695099742,0.429501305,0.237728891,0.102724462,0.094141271,0.003452222,0.001500673,0.000679237
Gozani_Primary_School,Kwale,School,0.512268218,0.311521415,0.175364264,0.075851266,0.069504959,0.002529465,0.001098313,0.000500185
Hawe_Wanje_Primary_School,Kilifi,School,0.50347237,0.309705582,0.172236788,0.074445641,0.068222937,0.002496418,0.001084843,0.000491874
Isiolo_Samburu_Complex_Dispensary,Isiolo,Clinic,0.605757681,0.449378332,0.195922871,0.086499916,0.079764653,0.003097548,0.001409348,0.000747885
Isiolo_Samburu_Complex_Primary_School,Isiolo,School,1.731486337,1.16287651,0.589116467,0.253168553,0.232173093,0.008872781,0.003880004,0.001699278
Jezazhomu_Primary_School,Kilifi,School,0.476073234,0.2928513,0.162863604,0.070394284,0.064510222,0.002360562,0.001025806,0.000465106
Jitegemee_Primary_School,Kwale,School,0.589894202,0.358727459,0.201937889,0.087345301,0.080037315,0.002912765,0.001264744,0.00057598
Kaalem_Primary_School,Turkana,School,0.881093246,0.620643002,0.298828907,0.127984425,0.117420251,0.004599982,0.002018474,0.000866973
Kadunguni_Primary_School,Kilifi,School,2.023256003,1.244584042,0.692151418,0.299167538,0.274160957,0.010032115,0.004359555,0.001976646
Kajungunyi_Primary_School,Taita_Taveta,School,0.238796611,0.147552142,0.081670083,0.035290264,0.032341569,0.001185986,0.000515546,0.000233347
Kakalel_Boys_Secondary_School,Turkana,School,0.531429618,0.374339578,0.180238054,0.077193549,0.070821788,0.00277447,0.001217438,0.000522913
Kalokoda_Primary_School,Turkana,School,1.989930719,1.401709277,0.674898855,0.289050156,0.265191189,0.010388963,0.00455868,0.001958041
Kaluweni_Primary_School,Kwale,School,0.688528229,0.41870895,0.235703176,0.101949986,0.093420058,0.003399797,0.001476217,0.000672287
Kaole_Primary_School,Kilifi,School,0.542744829,0.33386361,0.185671809,0.080252639,0.073544545,0.002691147,0.001169464,0.000530242
Kapecha_Primary_School,Kilifi,School,0.451261228,0.277588463,0.154375471,0.066725471,0.061148075,0.002237534,0.000972343,0.000440865
Karyaka_Primary_School,Kwale,School,0.650346544,0.39548984,0.222632478,0.096296445,0.088239536,0.003211265,0.001394355,0.000635006
Kasimani_Primary_School,Kilifi,School,0.354535232,0.218088512,0.121285721,0.05242314,0.048041236,0.001757928,0.000763925,0.000346368
Kasuroi_Primary_School,Turkana,School,0.926968472,0.652957559,0.31438781,0.134648095,0.123533884,0.004839486,0.002123568,0.000912113
Kavunyalo_Dispensary,Kilifi,Clinic,0.392844229,0.278714645,0.127422779,0.056462945,0.052045087,0.001970609,0.00089451,0.000484966
Kawala_Girls_Secondary_School,Kilifi,School,0.582622043,0.358393647,0.199313716,0.08614906,0.0789481,0.002888874,0.001255389,0.0005692
Kawalash_Primary_School,Isiolo,School,1.102421022,0.740392508,0.375084899,0.16119003,0.147822419,0.005649216,0.002470362,0.001081914
Kibora_Primary_School,Kilifi,School,1.03537624,0.636900493,0.354199929,0.153095288,0.14029848,0.005133811,0.002230948,0.001011524
Kidomaya_Primary_School,Kwale,School,0.496503021,0.301934257,0.16996738,0.073516922,0.067365925,0.00245162,0.001064512,0.000484791
Kikonde_Primary_School,Kwale,School,0.452121195,0.274944705,0.154774194,0.06694533,0.061344163,0.002232473,0.000969356,0.000441456
Kinna_Primary_School,Isiolo,School,1.058949812,0.711196985,0.360294366,0.154833905,0.141993412,0.005426453,0.002372949,0.001039252
Kiteje_Mixed_Secondary_School,Kwale,School,0.226337854,0.137640959,0.07748201,0.033513718,0.0307097,0.001117605,0.000485273,0.000220999
Kithengwani_Primary_School,Kilifi,School,2.250685744,1.384484986,0.76995463,0.3327963,0.304978785,0.011159803,0.004849603,0.002198836
Kituoni_Primary_School,Kwale,School,0.851751859,0.51796878,0.291579357,0.126118417,0.11556637,0.004205759,0.001826172,0.00083166
Kituu_Primary_School,Kwale,School,0.286540015,0.174251199,0.098090955,0.042427818,0.038877977,0.00141487,0.000614347,0.000279781
Kizimbani_Primary_School,Kwale,School,0.762189565,0.463504007,0.260919587,0.112856978,0.103414486,0.003763521,0.001634149,0.000744211
Kombola_primary_school,Isiolo,School,1.264157838,0.849015914,0.430113818,0.184838311,0.16950953,0.006478016,0.00283279,0.001240643
Konjora_Primary_School,Kilifi,School,1.152383478,0.708876229,0.394227847,0.170396493,0.156153525,0.00571398,0.002483067,0.001125836
