Site_name,County,Institution,LCA_used,LCA_generation
AIC_Nadoto_Primary_School,Turkana,School,0.709986805,0.127507926
AIC_Nayanaekaton_Primary_School,Turkana,School,0.907938503,0.127507926
A_IC_Gangani_Primary_School,Kwale,School,0.444769794,0.109573572
Abagarse_Primary_School,Isiolo,School,0.94356112,0.118228933
Akadeli_Primary_School,Isiolo,School,0.397080264,0.118228933
Akili_Primary_School,Isiolo,School,0.570693371,0.118228933
Amason_Jeffah_King_Secondary_School,Kilifi,School,0.177554145,0.110627168
Antorita_Primary_School,Kwale,School,0.42630582,0.109573572
Bahero_Primary_School,Kilifi,School,0.404921808,0.110627168
Balaga_Primary_School,Kilifi,School,0.338805811,0.110627168
Bengoni_Primary_School,Kilifi,School,0.282372127,0.110627168
Biliqo_Day_Secondary_school,Isiolo,School,0.183961661,0.118228933
Bomani_Primary_School,Kwale,School,0.380305295,0.109573572
Boyani_Dispensary,Kilifi,Clinic,0.367694549,0.096885219
Boyani_West_Primary_School,Kwale,School,0.377793172,0.109573572
Bura_Primary_School,Kilifi,School,0.16854635,0.110627168
Busa_Dispensary,Kwale,Clinic,0.411278648,0.096605193
Chidzaya_Primary_School,Kwale,School,0.879572907,0.109573572
Chingombero_Dispensary,Kwale,Clinic,0.460385033,0.096605193
Chumvi_yere_Primary_School,Isiolo,School,0.157181941,0.118228933
Daaba_Primary_School,Isiolo,School,0.974493269,0.118228933
Dadacha_Basa_Dispensary,Isiolo,Clinic,0.264041326,0.098490173
Dadachabasa_Primary_School,Isiolo,School,0.7129385,0.118228933
Dera_Tumaini_Primary_School,Kilifi,School,0.318918828,0.110627168
Dighai_Primary_School,Taita_Taveta,School,0.463669133,0.108004941
Dzendereni_Primary_School,Kwale,School,0.362532442,0.109573572
Dzombo_Primary_School,Kwale,School,0.994640665,0.109573572
Ekoropus_Primary_School,Turkana,School,0.493494147,0.127507926
Elsa_Primary_School,Isiolo,School,0.939421838,0.118228933
Elsa_Secondary_School,Isiolo,School,0.448942452,0.118228933
Emejen_Primary_School,Isiolo,School,0.186542132,0.118228933
Fudumulo_Primary_School,Kilifi,School,0.471270494,0.110627168
Galmadido_Primary_School,Isiolo,School,0.477081467,0.118228933
Galukani_Primary_School,Kilifi,School,0.772495512,0.110627168
Gamachu_Primary_School,Isiolo,School,0.581516527,0.118228933
Garbatula_Primary_Boarding,Isiolo,School,0.279960186,0.118228933
Gideon_Mosi_Primary_School,Taita_Taveta,School,0.429501305,0.108004941
Gozani_Primary_School,Kwale,School,0.311521415,0.109573572
Hawe_Wanje_Primary_School,Kilifi,School,0.309705582,0.110627168
Isiolo_Samburu_Complex_Dispensary,Isiolo,Clinic,0.449378332,0.098490173
Isiolo_Samburu_Complex_Primary_School,Isiolo,School,1.16287651,0.118228933
Jezazhomu_Primary_School,Kilifi,School,0.2928513,0.110627168
Jitegemee_Primary_School,Kwale,School,0.358727459,0.109573572
Kaalem_Primary_School,Turkana,School,0.620643002,0.127507926
Kadunguni_Primary_School,Kilifi,School,1.244584042,0.110627168
Kajungunyi_Primary_School,Taita_Taveta,School,0.147552142,0.108004941
Kakalel_Boys_Secondary_School,Turkana,School,0.374339578,0.127507926
Kalokoda_Primary_School,Turkana,School,1.401709277,0.127507926
Kaluweni_Primary_School,Kwale,School,0.41870895,0.109573572
Kaole_Primary_School,Kilifi,School,0.33386361,0.110627168
Kapecha_Primary_School,Kilifi,School,0.277588463,0.110627168
Karyaka_Primary_School,Kwale,School,0.39548984,0.109573572
Kasimani_Primary_School,Kilifi,School,0.218088512,0.110627168
Kasuroi_Primary_School,Turkana,School,0.652957559,0.127507926
Kavunyalo_Dispensary,Kilifi,Clinic,0.278714645,0.096885219
Kawala_Girls_Secondary_School,Kilifi,School,0.358393647,0.110627168
Kawalash_Primary_School,Isiolo,School,0.740392508,0.118228933
Kibora_Primary_School,Kilifi,School,0.636900493,0.110627168
Kidomaya_Primary_School,Kwale,School,0.301934257,0.109573572
Kikonde_Primary_School,Kwale,School,0.274944705,0.109573572
Kinna_Primary_School,Isiolo,School,0.711196985,0.118228933
Kiteje_Mixed_Secondary_School,Kwale,School,0.137640959,0.109573572
Kithengwani_Primary_School,Kilifi,School,1.384484986,0.110627168
Kituoni_Primary_School,Kwale,School,0.51796878,0.109573572
Kituu_Primary_School,Kwale,School,0.174251199,0.109573572
