Site_name,County,Institution,LCA_used,LCA_generation
AIC_Nadoto_Primary_School,Turkana,School,0.786243398,0.141202998
AIC_Nayanaekaton_Primary_School,Turkana,School,1.005456228,0.141202998
A_IC_Gangani_Primary_School,Kwale,School,0.501689834,0.123596404
Abagarse_Primary_School,Isiolo,School,1.050891402,0.1316775
Akadeli_Primary_School,Isiolo,School,0.44224823,0.1316775
Akili_Primary_School,Isiolo,School,0.635609866,0.1316775
Amason_Jeffah_King_Secondary_School,Kilifi,School,0.199972043,0.124594899
Antorita_Primary_School,Kwale,School,0.480862906,0.123596404
Bahero_Primary_School,Kilifi,School,0.456047034,0.124594899
Balaga_Primary_School,Kilifi,School,0.381583264,0.124594899
Bengoni_Primary_School,Kilifi,School,0.318024292,0.124594899
Biliqo_Day_Secondary_school,Isiolo,School,0.20488734,0.1316775
Bomani_Primary_School,Kwale,School,0.428975399,0.123596404
Boyani_Dispensary,Kilifi,Clinic,0.411869319,0.108524995
Boyani_West_Primary_School,Kwale,School,0.426141784,0.123596404
Bura_Primary_School,Kilifi,School,0.189826928,0.124594899
Busa_Dispensary,Kwale,Clinic,0.461028314,0.108290886
Chidzaya_Primary_School,Kwale,School,0.992137486,0.123596404
Chingombero_Dispensary,Kwale,Clinic,0.516074775,0.108290886
Chumvi_yere_Primary_School,Isiolo,School,0.175061421,0.1316775
Daaba_Primary_School,Isiolo,School,1.08534209,0.1316775
Dadacha_Basa_Dispensary,Isiolo,Clinic,0.294086434,0.109697312
Dadachabasa_Primary_School,Isiolo,School,0.794035409,0.1316775
Dera_Tumaini_Primary_School,Kilifi,School,0.359185361,0.124594899
Dighai_Primary_School,Taita_Taveta,School,0.521903664,0.121569823
Dzendereni_Primary_School,Kwale,School,0.408928041,0.123596404
Dzombo_Primary_School,Kwale,School,1.121931202,0.123596404
Ekoropus_Primary_School,Turkana,School,0.546498206,0.141202998
Elsa_Primary_School,Isiolo,School,1.046281276,0.1316775
Elsa_Secondary_School,Isiolo,School,0.500009753,0.1316775
Emejen_Primary_School,Isiolo,School,0.207761341,0.1316775
Fudumulo_Primary_School,Kilifi,School,0.530772872,0.124594899
Galmadido_Primary_School,Isiolo,School,0.531349587,0.1316775
Galukani_Primary_School,Kilifi,School,0.870030412,0.124594899
Gamachu_Primary_School,Isiolo,School,0.647664158,0.1316775
Garbatula_Primary_Boarding,Isiolo,School,0.311805718,0.1316775
Gideon_Mosi_Primary_School,Taita_Taveta,School,0.483444527,0.121569823
Gozani_Primary_School,Kwale,School,0.351388806,0.123596404
Hawe_Wanje_Primary_School,Kilifi,School,0.348808855,0.124594899
Isiolo_Samburu_Complex_Dispensary,Isiolo,Clinic,0.500512829,0.109697312
Isiolo_Samburu_Complex_Primary_School,Isiolo,School,1.295153966,0.1316775
Jezazhomu_Primary_School,Kilifi,School,0.329826559,0.124594899
Jitegemee_Primary_School,Kwale,School,0.40463611,0.123596404
Kaalem_Primary_School,Turkana,School,0.687303567,0.141202998
Kadunguni_Primary_School,Kilifi,School,1.401724605,0.124594899
Kajungunyi_Primary_School,Taita_Taveta,School,0.166083955,0.121569823
Kakalel_Boys_Secondary_School,Turkana,School,0.414545763,0.141202998
Kalokoda_Primary_School,Turkana,School,1.552260772,0.141202998
Kaluweni_Primary_School,Kwale,School,0.472293817,0.123596404
Kaole_Primary_School,Kilifi,School,0.376017064,0.124594899
Kapecha_Primary_School,Kilifi,School,0.312636644,0.124594899
Karyaka_Primary_School,Kwale,School,0.446103208,0.123596404
Kasimani_Primary_School,Kilifi,School,0.245624259,0.124594899
Kasuroi_Primary_School,Turkana,School,0.72308889,0.141202998
Kavunyalo_Dispensary,Kilifi,Clinic,0.312199382,0.108524995
Kawala_Girls_Secondary_School,Kilifi,School,0.403644251,0.124594899
Kawalash_Primary_School,Isiolo,School,0.824612316,0.1316775
Kibora_Primary_School,Kilifi,School,0.717315233,0.124594899
Kidomaya_Primary_School,Kwale,School,0.340574717,0.123596404
Kikonde_Primary_School,Kwale,School,0.31013114,0.123596404
Kinna_Primary_School,Isiolo,School,0.792095796,0.1316775
Kiteje_Mixed_Secondary_School,Kwale,School,0.155255754,0.123596404
Kithengwani_Primary_School,Kilifi,School,1.559289373,0.124594899
Kituoni_Primary_School,Kwale,School,0.584256563,0.123596404
Kituu_Primary_School,Kwale,School,0.196551241,0.123596404
Kizimbani_Primary_School,Kwale,School,0.522821584,0.123596404
Kombola_primary_school,Isiolo,School,0.945591659,0.1316775
Konjora_Primary_School,Kilifi,School,0.79837859,0.124594899
Kubimatamuka_Primary_School,Isiolo,School,0.64939706,0.1316775
KulaMawe_Primary_School,Isiolo,School,0.420664338,0.1316775
Kulalu_Primary_School,Kilifi,School,0.570665444,0.124594899
Lakole_Primary_School,Isiolo,School,0.610451752,0.1316775
Lobei_Primary_School,Turkana,School,0.395343168,0.141202998
Lokitaung_Girls_Secondary_School,Turkana,School,0.266542484,0.141202998
Loruth_Primary_School,Turkana,School,0.547187068,0.141202998
Lunguma_Primary_School,Kwale,School,0.442156045,0.123596404
Lwayoni_Primary_School,Kwale,School,0.215869926,0.123596404
Mabayani_Primary_School,Kwale,School,0.392423311,0.123596404
Mabesheni_Dispensary,Kwale,Clinic,0.355022286,0.108290886
Madibwani_Primary_School,Kwale,School,0.726518963,0.123596404
Maendeleo_Primary_School,Kwale,School,0.507670094,0.123596404
Mafisini_Primary_School,Kwale,School,0.427151629,0.123596404
Magale_Primary_School,Kwale,School,0.55184998,0.123596404
Magodzoni_Primary_School,Kwale,School,0.523813056,0.123596404
Maiyini_Primary_School,Kwale,School,0.54649168,0.123596404
Majoreni_Primary_School,Kwale,School,0.141477898,0.123596404
Makamini_Dispensary,Kwale,Clinic,0.936536521,0.108290886
Makonjeni_Primary_School,Kilifi,School,0.525306797,0.124594899
Malkadaka_Primary_School,Isiolo,School,0.500812553,0.1316775
Mama_Saleti_Primary_School,Isiolo,School,1.430073987,0.1316775
Mapawa_Primary_School,Kilifi,School,0.483721505,0.124594899
Maphanga_Primary_School,Kwale,School,0.577721696,0.123596404
Marafiki_Primary_School,Kilifi,School,1.136164936,0.124594899
Mataarba_Primary_School,Isiolo,School,0.835370517,0.1316775
Matagari_primary_School,Isiolo,School,0.370107855,0.1316775
Matolani_Primary_School,Kilifi,School,0.822835984,0.124594899
Mawe_Mabomu_Primary_School,Kilifi,School,0.411023392,0.124594899
Maya_Island_Primary_School,Kilifi,School,0.539326143,0.124594899
Mazola_Dispensary,Kwale,Clinic,0.680116261,0.108290886
Mbararani_Primary_School,Kwale,School,0.882394756,0.123596404
Mbilini_Primary_School,Kwale,School,1.756848265,0.123596404
Mbita_Primary_School,Kwale,School,0.217460611,0.123596404
Mbulia_Dispensary,Taita_Taveta,Clinic,1.024059794,0.10564761
Mchinjirini_Primary_School,Kwale,School,0.268471734,0.123596404
Melikubwa_Primary_School,Kwale,School,0.512803377,0.123596404
Merti_Muslim_Primary_School,Isiolo,School,0.590447011,0.1316775
Mgange_Dawida_Health_centre,Taita_Taveta,Clinic,0.448554371,0.10564761
Mgange_Nyika_health_centre,Taita_Taveta,Clinic,0.710869778,0.10564761
Mikameni_Primary_School,Kwale,School,0.329504036,0.123596404
Mitangani_Primary_School,Kilifi,School,1.229268268,0.124594899
Mitangoni_Primary_School,Kilifi,School,0.441829128,0.124594899
Mitulani_Primary_School,Kilifi,School,0.470617274,0.124594899
Mitunguni_Primary_School,Kwale,School,0.982355476,0.123596404
Mkuluni_Primary_School,Kilifi,School,0.309604978,0.124594899
Mlilo_Primary_School,Taita_Taveta,School,0.623782457,0.121569823
Mlola_Primary_School,Kwale,School,0.614450062,0.123596404
Mogore_Primary_School,Isiolo,School,1.484236712,0.1316775
Mrima_Wa_Kuku_Primary_School,Kilifi,School,0.653832102,0.124594899
Mtsamviani_Secondary_School,Kwale,School,0.173217336,0.123596404
Mtsangatamu_Primary_School,Kwale,School,0.464742197,0.123596404
Mtumwa_Dispensary,Kwale,Clinic,0.303835264,0.108290886
Muchuro_Primary_School,Isiolo,School,2.897256983,0.1316775
Mugumoni_Primary_School,Kilifi,School,0.886931516,0.124594899
Muhumkulu_Primary_School,Kilifi,School,0.255278251,0.124594899
Munandanur_Primary_School,Isiolo,School,0.736102373,0.1316775
Mwaluvuno_Primary_School,Kwale,School,0.367004014,0.123596404
Mwamambi_Primary_School,Kwale,School,0.835734255,0.123596404
Mwamtsefu_Primary_School,Kwale,School,0.352056261,0.123596404
Mwangani_Primary_School,Kilifi,School,0.284810142,0.124594899
Mwangaza_Primary_School,Kwale,School,0.918544091,0.123596404
Mwanza_Primary_School,Kilifi,School,0.91278866,0.124594899
Mwanzwani_Primary_School,Kwale,School,0.424732262,0.123596404
Mwele_Primary_School,Kilifi,School,0.873591947,0.124594899
Mwembe_Kati_Dispensary,Kilifi,Clinic,0.405235745,0.108524995
Nabeiye_Primary_School,Turkana,School,0.77748738,0.141202998
Nagaa_Primary_School,Isiolo,School,0.876558055,0.1316775
Nakaalei_Primary_School,Turkana,School,0.667631889,0.141202998
Nakitoekakumon_Primary_School,Turkana,School,0.626698435,0.141202998
Namakat_Primary_School,Turkana,School,1.259014106,0.141202998
Namortung_a_Boys_Secondary_School,Turkana,School,0.253939296,0.141202998
Naroo_Primary_School,Turkana,School,0.580096236,0.141202998
Ndugu_Zangu_Integrated_Primary_School,Isiolo,School,0.515356248,0.1316775
Ngoloko_Primary_School,Kilifi,School,0.556094834,0.124594899
Nyango_Primary_School,Kwale,School,0.513750398,0.123596404
Paola_Katsuhanzala_Primary_School,Kilifi,School,0.365426677,0.124594899
Pumwani_Primary_School,Kilifi,School,0.232433942,0.124594899
Sagalato_Primary_School,Kwale,School,0.409523632,0.123596404
Sagalla_Health_Centre,Taita_Taveta,Clinic,0.315145856,0.10564761
Saghaighu_dispensary,Taita_Taveta,Clinic,0.381117301,0.10564761
Salim_Mvurya_Secondary_School,Kwale,School,0.371750351,0.123596404
Sembe_Primary_School,Kwale,School,0.692895626,0.123596404
Shakahola_Dispensary,Kilifi,Clinic,0.374046254,0.108524995
Shambani_Primary_School,Isiolo,School,0.339304615,0.1316775
Shauri_Moyo_Primary_School,Kwale,School,1.389010109,0.123596404
Silaloni_Primary_School,Kwale,School,0.31320651,0.123596404
Simanya_Primary_School,Kwale,School,0.434408312,0.123596404
Tata_Primary_School,Kwale,School,0.455863939,0.123596404
Tiwi_Boys_Secondary_school,Kwale,School,0.941080673,0.123596404
Todonyang_Primary_School,Turkana,School,0.721783005,0.141202998
Uhuru_Primary_School,Isiolo,School,0.794845174,0.1316775
Vithunguni_Primary_School,Kilifi,School,0.895858651,0.124594899
Watala_Primary_School,Kilifi,School,0.679906533,0.124594899
Werugha_Health_facility,Taita_Taveta,Clinic,0.289097555,0.10564761
Yapha_Primary_School,Kwale,School,0.380697008,0.123596404
Ziwani_Primary_School,Kilifi,School,0.965507732,0.124594899
Ziyaradundo_Primary_School,Kwale,School,0.291930272,0.123596404
