Site_name,County,Initial_PV_size,Initial_storage_size,Final_PV_size,Final_storage_size,LCUE,Emissions_intensity,Cumulative_system_cost,Cumulative_system_GHG,Blackouts,Unmet_energy_fraction,Institution
AIC_Nadoto_Primary_School,Turkana,1.06,2.0,0.901,1.912,1.306,488.643,3398.102,2274.22,0.002,0.004,School
AIC_Nayanaekaton_Primary_School,Turkana,0.53,1.0,0.45,0.918,1.291,362.657,2640.442,1323.11,0.002,0.003,School
A_IC_Gangani_Primary_School,Kwale,0.53,2.0,0.45,1.841,0.858,228.788,3015.442,1433.11,0.0,0.0,School
Abagarse_Primary_School,Isiolo,0.265,1.0,0.225,0.929,1.327,273.643,2449.112,902.555,0.004,0.008,School
Akadeli_Primary_School,Isiolo,0.795,1.0,0.676,0.905,0.64,221.612,2831.772,1743.665,0.003,0.004,School
Akili_Primary_School,Isiolo,0.53,2.0,0.45,1.868,0.984,262.178,3015.442,1433.11,0.002,0.005,School
Amason_Jeffah_King_Secondary_School,Kilifi,1.59,7.0,1.352,6.411,0.586,213.436,5655.762,3665.33,0.003,0.004,School
Antorita_Primary_School,Kwale,0.795,3.0,0.676,2.852,0.98,303.274,3581.772,1963.665,0.004,0.01,School
Bahero_Primary_School,Kilifi,0.795,3.0,0.676,2.838,0.917,284.143,3581.772,1963.665,0.005,0.009,School
Balaga_Primary_School,Kilifi,0.795,3.0,0.676,2.78,0.769,236.657,3581.772,1963.665,0.003,0.005,School
Bengoni_Primary_School,Kilifi,1.59,6.0,1.352,5.719,0.918,348.362,5280.762,3555.33,0.002,0.01,School
Biliqo_Day_Secondary_school,Isiolo,1.325,6.0,1.126,5.442,0.527,181.377,5089.432,3134.775,0.001,0.002,School
Bomani_Primary_School,Kwale,0.53,3.0,0.45,2.786,0.832,211.589,3390.442,1543.11,0.002,0.005,School
Boyani_Dispensary,Kilifi,1.325,3.0,1.126,2.633,0.47,186.794,3964.432,2804.775,0.005,0.008,Clinic
Boyani_West_Primary_School,Kwale,0.53,2.0,0.45,1.846,0.734,195.652,3015.442,1433.11,0.007,0.007,School
Bura_Primary_School,Kilifi,1.325,5.0,1.126,4.412,0.5,180.108,4714.432,3024.775,0.006,0.01,School
Busa_Dispensary,Kwale,1.59,5.0,1.352,4.648,0.654,258.554,4905.762,3445.33,0.003,0.008,Clinic
Chidzaya_Primary_School,Kwale,0.265,1.0,0.225,0.926,1.379,285.113,2449.112,902.555,0.002,0.002,School
Chingombero_Dispensary,Kwale,1.325,3.0,1.126,2.776,0.646,266.837,4322.062,3176.775,0.006,0.009,Clinic
Chumvi_yere_Primary_School,Isiolo,2.12,12.0,1.802,10.931,0.48,177.936,8271.052,5428.44,0.005,0.01,School
Daaba_Primary_School,Isiolo,0.53,3.0,0.45,2.909,1.88,484.128,3390.442,1543.11,0.003,0.009,School
Dadacha_Basa_Dispensary,Isiolo,1.855,5.0,1.577,4.5,0.41,175.306,5097.092,3865.885,0.007,0.01,Clinic
Dadachabasa_Primary_School,Isiolo,0.53,2.0,0.45,1.904,1.229,327.234,3015.442,1433.11,0.002,0.005,School
Dera_Tumaini_Primary_School,Kilifi,0.795,3.0,0.676,2.714,0.723,222.281,3581.772,1963.665,0.002,0.002,School
Dighai_Primary_School,Taita_Taveta,0.53,2.0,0.45,1.827,0.881,235.03,3015.442,1433.11,0.003,0.004,School
Dzendereni_Primary_School,Kwale,0.795,2.0,0.676,1.826,0.746,242.817,3206.772,1853.665,0.006,0.007,School
Dzombo_Primary_School,Kwale,0.53,2.0,0.45,1.94,1.921,511.637,3015.442,1433.11,0.0,0.001,School
Ekoropus_Primary_School,Turkana,0.53,2.0,0.45,1.833,0.802,213.76,3015.442,1433.11,0.003,0.004,School
Elsa_Primary_School,Isiolo,0.53,3.0,0.45,2.902,1.821,463.399,3390.442,1543.11,0.001,0.002,School
Elsa_Secondary_School,Isiolo,1.59,9.0,1.352,8.751,1.358,479.478,6763.392,4257.33,0.004,0.009,School
Emejen_Primary_School,Isiolo,1.325,6.0,1.126,5.407,0.534,185.025,5089.432,3134.775,0.004,0.009,School
Fudumulo_Primary_School,Kilifi,0.53,2.0,0.45,1.82,0.898,240.135,3015.442,1433.11,0.003,0.004,School
Galmadido_Primary_School,Isiolo,0.795,3.0,0.676,2.808,0.967,299.349,3581.772,1963.665,0.001,0.002,School
Galukani_Primary_School,Kilifi,2.385,11.0,2.027,10.922,3.802,1512.607,8087.382,5738.995,0.001,0.01,School
Gamachu_Primary_School,Isiolo,0.53,3.0,0.45,2.851,1.13,286.876,3390.442,1543.11,0.001,0.004,School
Garbatula_Primary_Boarding,Isiolo,1.06,3.0,0.901,2.727,0.607,214.849,3773.102,2384.22,0.006,0.009,School
Gideon_Mosi_Primary_School,Taita_Taveta,0.795,3.0,0.676,2.871,0.971,299.004,3581.772,1963.665,0.002,0.007,School
Gozani_Primary_School,Kwale,0.795,3.0,0.676,2.767,0.715,219.849,3581.772,1963.665,0.001,0.001,School
Hawe_Wanje_Primary_School,Kilifi,0.795,3.0,0.676,2.723,0.706,217.695,3581.772,1963.665,0.007,0.01,School
