Site_name,County,Initial_PV_size,Initial_storage_size,Final_PV_size,Final_storage_size,LCUE,Emissions_intensity,Cumulative_system_cost,Cumulative_system_GHG,Blackouts,Unmet_energy_fraction,Institution
AIC_Nadoto_Primary_School,Turkana,1.325,3.0,1.126,2.913,1.519,600.363,3964.432,2804.775,0.0,0.0,School
AIC_Nayanaekaton_Primary_School,Turkana,0.53,2.0,0.45,1.918,1.47,391.618,3015.442,1433.11,0.0,0.0,School
A_IC_Gangani_Primary_School,Kwale,0.53,2.0,0.45,1.841,0.858,228.788,3015.442,1433.11,0.0,0.0,School
Abagarse_Primary_School,Isiolo,0.265,2.0,0.225,1.928,1.518,304.466,2824.112,1012.555,0.0,0.0,School
Akadeli_Primary_School,Isiolo,0.795,3.0,0.676,2.904,0.807,248.576,3581.772,1963.665,0.0,0.0,School
Akili_Primary_School,Isiolo,0.795,3.0,0.676,2.869,1.164,357.56,3581.772,1963.665,0.0,0.0,School
Amason_Jeffah_King_Secondary_School,Kilifi,1.855,8.0,1.577,7.409,0.643,243.369,6222.092,4195.885,0.0,0.0,School
Antorita_Primary_School,Kwale,1.325,4.0,1.126,3.853,1.177,446.035,4339.432,2914.775,0.0,0.0,School
Bahero_Primary_School,Kilifi,1.325,4.0,1.126,3.839,1.102,418.044,4339.432,2914.775,0.0,0.0,School
Balaga_Primary_School,Kilifi,1.325,3.0,1.126,2.781,0.849,336.653,3964.432,2804.775,0.0,0.0,School
Bengoni_Primary_School,Kilifi,1.855,9.0,1.577,8.716,1.136,417.959,6597.092,4305.885,0.0,0.0,School
Biliqo_Day_Secondary_school,Isiolo,1.855,6.0,1.577,5.442,0.566,229.687,5472.092,3975.885,0.0,0.0,School
Bomani_Primary_School,Kwale,0.53,5.0,0.45,4.784,1.011,240.6,4140.442,1763.11,0.0,0.0,School
Boyani_Dispensary,Kilifi,1.855,6.0,1.577,5.631,0.644,262.819,5472.092,3975.885,0.0,0.0,Clinic
Boyani_West_Primary_School,Kwale,1.06,2.0,0.901,1.849,0.822,308.552,3398.102,2274.22,0.0,0.0,School
Bura_Primary_School,Kilifi,1.59,7.0,1.352,6.406,0.595,216.139,5655.762,3665.33,0.0,0.0,School
Busa_Dispensary,Kwale,1.59,8.0,1.352,7.644,0.797,281.034,6030.762,3775.33,0.0,0.0,Clinic
Chidzaya_Primary_School,Kwale,0.265,2.0,0.225,1.925,1.588,319.283,2824.112,1012.555,0.0,0.0,School
Chingombero_Dispensary,Kwale,1.59,5.0,1.352,4.774,0.781,317.942,5263.392,3817.33,0.0,0.0,Clinic
Chumvi_yere_Primary_School,Isiolo,3.18,14.0,2.703,12.927,0.564,237.948,9786.372,7330.66,0.0,0.0,School
Daaba_Primary_School,Isiolo,0.795,4.0,0.676,3.909,2.176,644.615,3956.772,2073.665,0.0,0.0,School
Dadacha_Basa_Dispensary,Isiolo,3.18,9.0,2.703,8.5,0.602,287.923,7553.742,6408.66,0.0,0.0,Clinic
Dadachabasa_Primary_School,Isiolo,0.53,4.0,0.45,3.903,1.527,375.484,3765.442,1653.11,0.0,0.0,School
Dera_Tumaini_Primary_School,Kilifi,0.795,4.0,0.676,3.714,0.797,234.202,3956.772,2073.665,0.0,0.0,School
Dighai_Primary_School,Taita_Taveta,0.795,3.0,0.676,2.827,1.042,320.711,3581.772,1963.665,0.0,0.0,School
Dzendereni_Primary_School,Kwale,1.325,3.0,1.126,2.827,0.918,365.144,3964.432,2804.775,0.0,0.0,School
Dzombo_Primary_School,Kwale,0.795,2.0,0.676,1.941,2.043,661.807,3206.772,1853.665,0.0,0.0,School
Ekoropus_Primary_School,Turkana,0.795,2.0,0.676,1.835,0.851,275.615,3206.772,1853.665,0.0,0.0,School
Elsa_Primary_School,Isiolo,0.795,3.0,0.676,2.902,1.92,588.456,3581.772,1963.665,0.0,0.0,School
Elsa_Secondary_School,Isiolo,1.855,11.0,1.577,10.751,1.534,546.704,7704.722,4897.885,0.0,0.0,School
Emejen_Primary_School,Isiolo,2.12,9.0,1.802,8.403,0.706,276.507,6788.422,4726.44,0.0,0.0,School
Fudumulo_Primary_School,Kilifi,0.795,3.0,0.676,2.82,1.063,327.694,3581.772,1963.665,0.0,0.0,School
