Site Name,County,Institution,Annual Consumption Filled (kWh),Annual Consumption Measured (kWh)
Tata Primary School,Kwale,School,443.8890318,347.645201
Mikameni Primary School,Kwale,School,577.4798435,447.958801
Abagarse Primary School,Isiolo,School,202.7530235,153.699381
Kombola primary school,Isiolo,School,224.8798827,195.807617
Magale Primary School,Kwale,School,347.3166044,260.446799
Akadeli Primary School,Isiolo,School,489.7046372,374.436081
Kalokoda Primary School,Turkana,School,142.6393539,113.540514
Makonjeni Primary School,Kilifi,School,369.4389547,293.96521
Todonyang Primary School,Turkana,School,311.9664599,240.78027
Kaalem Primary School,Turkana,School,319.9031054,251.917815
Elsa Primary School,Isiolo,School,200.4892033,157.773231
Kawalash Primary School,Isiolo,School,258.4958911,203.138458
Mitangoni Primary School,Kilifi,School,433.3838699,338.934633
Ziwani Primary School,Kilifi,School,199.0360685,163.890034
Ekoropus Primary School,Turkana,School,407.8800824,329.538191
Sagalla Health Centre,Taita Taveta,Clinic,1266.252499,872.766976
Mwangaza Primary School,Kwale,School,207.9993185,173.443781
Lakole Primary School,Isiolo,School,346.0562515,275.38875
Lobei Primary School,Turkana,School,554.6926346,431.059645
Isiolo Samburu Complex Primary School,Isiolo,School,165.8594484,134.795114
Nabeiye Primary School,Turkana,School,284.3959634,210.645108
Emejen Primary School,Isiolo,School,1016.850034,837.803832
Mabayani Primary School,Kwale,School,480.4480157,364.838983
Namakat Primary School,Turkana,School,176.8737216,144.974555
Mitulani Primary School,Kilifi,School,414.1541262,320.571886
Loruth Primary School,Turkana,School,402.8192584,335.095982
Amason Jeffah King Secondary School,Kilifi,School,1026.812205,837.860822
Lokitaung Girls Secondary School,Turkana,School,833.0555027,679.886491
Daaba Primary School,Isiolo,School,193.6476729,164.606409
Mabesheni Dispensary,Kwale,Clinic,1052.616568,875.2117
Watala Primary School,Kilifi,School,283.607072,193.970673
Konjora Primary School,Kilifi,School,245.6548682,204.401365
Nakitoekakumon Primary School,Turkana,School,348.755551,294.480786
Madibwani Primary School,Kwale,School,259.0112377,228.09717
Chidzaya Primary School,Kwale,School,192.5882101,157.459979
Kulalu Primary School,Kilifi,School,336.2976981,267.820692
Uhuru Primary School,Isiolo,School,266.4063178,230.573891
Mapawa Primary School,Kilifi,School,394.7005523,321.557289
Garbatula Primary Boarding,Isiolo,School,678.5611905,522.597247
Biliqo Day Secondary school,Isiolo,School,1034.620728,881.734532
Sagalato Primary School,Kwale,School,466.5069289,389.439412
Simanya Primary School,Kwale,School,434.7956837,371.199149
Bengoni Primary School,Kilifi,School,621.2794667,502.841659
Vithunguni Primary School,Kilifi,School,213.6800753,180.404706
Matolani Primary School,Kilifi,School,237.1220737,175.094729
Mlola Primary School,Kwale,School,311.0595941,272.911564
Antorita Primary School,Kwale,School,397.6967408,330.398924
Namortung'a Boys Secondary School ,Turkana,School,883.5101157,748.95303
Naroo Primary School,Turkana,School,385.3763266,337.001026
Mafisini Primary Shool,Kwale,School,452.4392959,380.517566
Marafiki Primary School,Kilifi,School,171.7716957,151.472803
Mgange Dawida Health centre,Taita Taveta,Clinic,886.4624366,740.976903
Merti Muslim Primary School,Isiolo,School,353.8507205,296.608482
Kasimani Primary School,Kilifi,School,781.2096185,672.77602
Kajungunyi Primary School,Taita Taveta,School,1281.930116,1085.699369
Kidomaya Primary School,Kwale,School,560.4798603,505.490628
