Site_name,County,Institution,S0_EI,S1_EI,S2_EI,S3_EI,S4_EI
AIC_Nadoto_Primary_School,Turkana,School,565.902,600.363,488.643,387.168,302.255
AIC_Nayanaekaton_Primary_School,Turkana,School,723.681,391.618,362.657,249.202,249.202
A_IC_Gangani_Primary_School,Kwale,School,422.405,228.788,228.788,222.381,222.381
Abagarse_Primary_School,Isiolo,School,796.5,304.466,273.643,273.643,273.643
Akadeli_Primary_School,Isiolo,School,335.192,248.576,221.612,170.599,170.599
Akili_Primary_School,Isiolo,School,481.746,357.56,262.178,262.178,263.002
Amason_Jeffah_King_Secondary_School,Kilifi,School,166.364,243.369,213.436,186.869,166.84
Antorita_Primary_School,Kwale,School,404.869,446.035,303.274,298.01,235.431
Bahero_Primary_School,Kilifi,School,379.401,418.044,284.143,271.132,216.992
Balaga_Primary_School,Kilifi,School,317.452,336.653,236.657,236.657,191.538
Bengoni_Primary_School,Kilifi,School,264.575,417.959,348.362,286.956,207.644
Biliqo_Day_Secondary_school,Isiolo,School,155.29,229.687,181.377,154.636,157.855
Bomani_Primary_School,Kwale,School,361.182,240.6,211.589,199.833,199.833
Boyani_Dispensary,Kilifi,Clinic,348.0,262.819,186.794,133.966,133.966
Boyani_West_Primary_School,Kwale,School,358.796,308.552,195.652,195.652,198.271
Bura_Primary_School,Kilifi,School,157.924,216.139,180.108,180.892,133.661
Busa_Dispensary,Kwale,Clinic,391.918,281.034,258.554,192.212,160.489
Chidzaya_Primary_School,Kwale,School,835.344,319.283,285.113,285.113,285.113
Chingombero_Dispensary,Kwale,Clinic,469.706,317.942,266.837,228.708,198.233
Chumvi_yere_Primary_School,Isiolo,School,151.341,237.948,177.936,172.651,162.47
Daaba_Primary_School,Isiolo,School,822.611,644.615,484.128,464.32,464.32
Dadacha_Basa_Dispensary,Isiolo,Clinic,236.689,287.923,175.306,136.937,136.937
Dadachabasa_Primary_School,Isiolo,School,601.822,375.484,327.234,311.938,220.321
Dera_Tumaini_Primary_School,Kilifi,School,298.819,234.202,222.281,167.616,167.616
Dighai_Primary_School,Taita_Taveta,School,432.159,320.711,235.03,235.03,235.03
Dzendereni_Primary_School,Kwale,School,344.303,365.144,242.817,191.892,191.892
Dzombo_Primary_School,Kwale,School,944.625,661.807,511.637,332.977,332.977
Ekoropus_Primary_School,Turkana,School,393.344,275.615,213.76,213.76,213.76
